Site,CoreID,Species,Meadow_type,Location,Station,Latitude,Longitude,Country,Stock_0_20cm,Stock_0_50cm,Stock_20_50cm,Stock_20_50cm_estimate,d13C_surface,d13C_0_20cm,SD_d13C_0_20cm,N_d13C_0_20cm,d13C_0_50cm,SD_d13C_0_50cm,N_d13C_0_50cm,d13C_20_50cm,SD_d13C_20_50cm,N_d13C_20_50cm,d13C_leaf,SD_d13C_leaf,N_d13C_leaf,surface_soil_leaf_difference_d13C,z0_20_soil_leaf_difference_d13C,z20_50_soil_leaf_difference_d13C,Source
1,32,Posidonia sinuosa,monospecific,"Geographe Bay, WA ",siesta park,-34.993858,117.944392,Australia,3.2,,,,-11.4,-15.6,4.46,4,,,,,,,,,,-0.6,-4.8,,"Lavery PS, Mateo M-A, Serrano O, Rozaimi M 2013 Variability in the Carbon Storage of Seagrass Habitats and Its Implications for Global Estimates of Blue Carbon Ecosystem Service. PLoS ONE 8(9): e73748. doi:10.1371/journal.pone.0073748"
1,33,Posidonia sinuosa,monospecific,"Geographe Bay, WA ",siesta park,-34.993858,117.944392,Australia,4.5,,,,-16.2,-14.6,1.53,4,,,,,,,,,,-5.4,-3.8,,"Lavery PS, Mateo M-A, Serrano O, Rozaimi M 2013 Variability in the Carbon Storage of Seagrass Habitats and Its Implications for Global Estimates of Blue Carbon Ecosystem Service. PLoS ONE 8(9): e73748. doi:10.1371/journal.pone.0073748"
1,34,Posidonia sinuosa,monospecific,"Geographe Bay, WA ",siesta park,-34.993858,117.944392,Australia,9.9,,,,,,,,,,,,,,,,,,,,"Lavery PS, Mateo M-A, Serrano O, Rozaimi M 2013 Variability in the Carbon Storage of Seagrass Habitats and Its Implications for Global Estimates of Blue Carbon Ecosystem Service. PLoS ONE 8(9): e73748. doi:10.1371/journal.pone.0073748"
1,35,Posidonia sinuosa,monospecific,"Geographe Bay, WA ",siesta park,-34.993858,117.944392,Australia,10.6,,,,-14.9,-10.2,4.21,3,,,,,,,,,,-4.1,0.6,,"Lavery PS, Mateo M-A, Serrano O, Rozaimi M 2013 Variability in the Carbon Storage of Seagrass Habitats and Its Implications for Global Estimates of Blue Carbon Ecosystem Service. PLoS ONE 8(9): e73748. doi:10.1371/journal.pone.0073748"
1,36,Posidonia sinuosa,monospecific,"Geographe Bay, WA ",siesta park,-34.993858,117.944392,Australia,8.6,,,,-10.2,-10.1,0.69,4,,,,,,,,,,0.6,0.7,,"Lavery PS, Mateo M-A, Serrano O, Rozaimi M 2013 Variability in the Carbon Storage of Seagrass Habitats and Its Implications for Global Estimates of Blue Carbon Ecosystem Service. PLoS ONE 8(9): e73748. doi:10.1371/journal.pone.0073748"
,40,Posidonia sinuosa,monospecific,"Geographe Bay, WA ",siesta park,-34.993858,117.944392,Australia,2.8,,,,-24.9,-17.7,5.47,4,,,,,,,,,,-14.1,-6.9,,"Lavery PS, Mateo M-A, Serrano O, Rozaimi M 2013 Variability in the Carbon Storage of Seagrass Habitats and Its Implications for Global Estimates of Blue Carbon Ecosystem Service. PLoS ONE 8(9): e73748. doi:10.1371/journal.pone.0073748"
,41,Posidonia sinuosa,monospecific,"Geographe Bay, WA ",siesta park,-34.993858,117.944392,Australia,1.7,,,,-25.9,-23.6,1.75,4,,,,,,,,,,-15.1,-12.8,,"Lavery PS, Mateo M-A, Serrano O, Rozaimi M 2013 Variability in the Carbon Storage of Seagrass Habitats and Its Implications for Global Estimates of Blue Carbon Ecosystem Service. PLoS ONE 8(9): e73748. doi:10.1371/journal.pone.0073748"
,42,Posidonia sinuosa,monospecific,"Geographe Bay, WA ",siesta park,-34.993858,117.944392,Australia,2.3,,,,-21,-17.9,3.41,4,,,,,,,,,,-10.2,-7.1,,"Lavery PS, Mateo M-A, Serrano O, Rozaimi M 2013 Variability in the Carbon Storage of Seagrass Habitats and Its Implications for Global Estimates of Blue Carbon Ecosystem Service. PLoS ONE 8(9): e73748. doi:10.1371/journal.pone.0073748"
,AE,Posidonia sinuosa,monospecific,Frenchman's Bay,,-35.09120725,117.9488094,Australia,15.7,,,,-16.2,-17,0.58,12,,,,,,,,,,-5.4,-6.2,,Serrano unpublished data
,AD,Posidonia sinuosa,monospecific,Frenchman's Bay,,-35.09124544,117.9488777,Australia,7.9,25.4,17.6,17.5,-17.6,-16.4,1.16,11,-15.2,2.02,22,-14,2.04,11,,,,-6.8,-5.6,-5,Serrano unpublished data
,AC,Posidonia sinuosa,monospecific,Frenchman's Bay,,-35.09130825,117.9489576,Australia,20,46.4,28.7,26.4,-14.1,-13.3,1.73,11,-12.4,1.93,22,-11.5,1.78,11,,,,-3.3,-2.5,-2.5,Serrano unpublished data
,#Y,Posidonia australis,monospecific,Frenchman's Bay,,-35.09158689,117.9490252,Australia,22,40.2,19.4,18.2,-12.4,-11.2,1.12,5,-11,0.98,9,-10.7,1.06,3,,,,-3.4,-2.2,-1.7,Serrano O unpublished data
,AB,Posidonia sinuosa,monospecific,Frenchman's Bay,,-35.09137836,117.9490284,Australia,35.3,68.7,39.7,33.4,-12.6,-11.2,1.63,11,-11,1.45,22,-10.7,1.27,11,,,,-1.8,-0.4,-1.7,Serrano unpublished data
